No,콜서버명,공식 업무명,용도,설치장소,RACK-no,플랫폼,OS명,시리얼 번호,시스템분류,시스템 제조사,시스템 모델,공급사1,공급사2,비고1,비고2
227,,장기보험가입설계,개발,마북3F,A1-07,NT,WINDOWS,SGH731SHPF,일반서버,HP,DL360 G9,,,,
228,,장기보험가입설계,개발,마북3F,A1-07,NA,,682204X,통합서버,IBM,S822,,,,
229,,주식매입자금대출,개발,마북3F,A1-07,NA,,6840CCX,통합서버,IBM,S822,,,,
230,,주식매입자금대출,개발,마북3F,A1-07,Embedded,HMC,68753BA,Console,IBM,X3550 M5,,,,
231,,Solaris 11 패치 관리 서버,DR,마북3F,A1-08,UNIX,SOLARIS,BEL0906WKB,일반서버,ORACLE,T5220,,,,
232,,영업포탈,DR,마북3F,A1-08,UNIX,SOLARIS,1819NNT615,일반서버,ORACLE,S7-2L,,,,
233,,영업포탈,검증,마북3F,A1-08,NA,,CKM0017****089,스토리지_NAS,EMC,VNX5200,,,,
234,,영업포탈,검증,마북3F,A1-08,NA,,AK00396058,통합서버,ORACLE,T7-4,,,,
235,,영업포탈,검증,마북3F,A1-08,LINUX,REDHAT,SGH715YH9N,일반서버,HP,DL380 G9,,,,
236,,영업포탈,DR,마북3F,A1-08,LINUX,REDHAT,SGH715YHA9,일반서버,HP,DL380 G9,,,,
237,,영업포탈,DR,마북3F,A1-08,NA,,AK00396067,통합서버,ORACLE,T7-1,,,,
238,,영업포탈,DR,마북3F,A1-08,NA,,AK00396065,통합서버,ORACLE,T7-1,,,,
239,,영업포탈,개발,마북3F,A1-08,LINUX,REDHAT,SGH738YRXB,일반서버,HP,DL380 G10,,,,
240,,영업포탈,개발,마북3F,A1-08,LINUX,REDHAT,SGH738YRVS,일반서버,HP,DL380 G10,,,,
241,,외부망 NAS,개발,마북3F,A1-09,NA,,1131FMM0R0,스토리지_NAS,ORACLE,SS7120,,,,
242,,영업포탈,DR,마북3F,A1-09,UNIX,SOLARIS,1819NNT614,일반서버,ORACLE,S7-2L,,,,
243,,영업포탈,DR,마북3F,A1-09,NA,,CKM0017****532,스토리지_NAS,EMC,VNX5200,,,,
244,,영업포탈,검증,마북3F,A1-09,NA,,AK00396057,통합서버,ORACLE,T7-4,,,,
245,,영업포탈,검증,마북3F,A1-09,LINUX,REDHAT,SGH715YH9M,일반서버,HP,DL380 G9,,,,
246,,영업포탈,DR,마북3F,A1-09,LINUX,REDHAT,SGH715YHA7,일반서버,HP,DL380 G9,,,,
247,,영업포탈,DR,마북3F,A1-09,NA,,AK00396066,통합서버,ORACLE,T7-1,,,,
248,,영업포탈,DR,마북3F,A1-09,NA,,AK00396064,통합서버,ORACLE,T7-1,,,,
249,,영업포탈,개발,마북3F,A1-09,LINUX,REDHAT,SGH738YRWX,일반서버,HP,DL380 G10,,,,
250,,보이는 ARS 시스템,개발,마북3F,A1-09,LINUX,REDHAT,SGH746TV5J,일반서버,HP,DL360 G10,,,,
251,,보상손사포탈,개발,마북3F,A2-01,,,1920XC200A,통합서버,ORACLE,X7-2L,,,,
252,,보상손사포탈,개발,마북3F,A2-01,,,1919NNTA2D,통합서버,ORACLE,S7-2,,,,
253,,보상손사포탈,개발,마북3F,A2-01,,,1920XC200B,통합서버,ORACLE,X7-2L,,,,
254,,보상손사포탈,개발,마북3F,A2-01,,,1919NNTA2E,통합서버,ORACLE,S7-2,,,,
255,,보상손사포탈,개발,마북3F,A2-01,UNIX,Oracle_Linux,1918XC3058,일반서버,ORACLE,X7-2,,,,
256,,보상손사포탈,개발,마북3F,A2-02,,,CKM0019****243,스토리지_NAS,EMC,Unity300H,,,,
257,,음성분석(STT/TA)시스템,개발,마북3F,A2-05,LINUX,REDHAT,MA6D013595,일반서버,Fujitsu,RX2540,,,,
258,,음성분석(STT/TA)시스템,개발,마북3F,A2-05,LINUX,REDHAT,MA6D013631,일반서버,Fujitsu,RX2540,,,,
259,,음성분석(STT/TA)시스템,개발,마북3F,A2-05,NT,WINDOWS,MA6D012106,일반서버,Fujitsu,RX2540,,,,
260,,TM포탈,DR,마북3F,A2-07,NA,,CCD4018P03Y,SAN스위치,BROCADE,BR6505,,,,
261,,TM포탈,개발,마북3F,A2-07,Embedded,ONTAP,941827000096/941827000097,스토리지_NAS,NETAPP,FAS2650,,,,
262,,TM포탈,DR,마북3F,A2-07,Embedded,ONTAP,451828000036/451828000037,스토리지_NAS,NETAPP,FAS8200,,,,
263,,TM포탈,DR,마북3F,A2-07,NA,,CCD4018P03P,SAN스위치,BROCADE,BR6505,,,,
264,,TM포탈,운영,마북3F,A2-07,NA,,7.2184E+11,스토리지_SAN,NETAPP,E2824,,,,
265,,TM포탈,DR,마북3F,A2-08,UNIX,AIX,7811080,일반서버,IBM,S922,,,,
266,,TM포탈,DR,마북3F,A2-08,NA,,7811090,통합서버,IBM,S922,,,,
267,,TM포탈,DR,마북3F,A2-08,NA,,G85203W,IO_DEVICE,IBM,EXP24SX,,,,
268,,TM포탈,개발,마북3F,A2-08,NA,,780EF00,통합서버,IBM,S922,,,,
269,,TM포탈,개발,마북3F,A2-08,NA,,G85F01X,IO_DEVICE,IBM,EXP24SX,,,,
270,,TM포탈,DR,마북3F,A2-08,Embedded,HMC,13AASA,Console,IBM,HMC,,,,
271,,TM포탈,개발,마북3F,A2-08,UNIX,AIX,780EF10,일반서버,IBM,S922,,,,
272,,TM포탈,개발,마북3F,A2-09,NT,WINDOWS,SGH831YVGQ,일반서버,HP,DL360 G10,,,,
273,,TM포탈,개발,마북3F,A2-09,NT,WINDOWS,SGH831YVQ1,일반서버,HP,DL380 G10,화인,보이스토어,,
274,,TM포탈,개발,마북3F,A2-09,NT,WINDOWS,SGH831YVQ2,일반서버,HP,DL380 G10,화인,보이스토어,,
275,,TM포탈,개발,마북3F,A2-09,LINUX,REDHAT,SGH831YVGP,일반서버,HP,DL380 G10,,,,
276,,TM포탈,DR,마북3F,A2-09,LINUX,REDHAT,SGH831YVGN,일반서버,HP,DL380 G10,,,,
277,PBX,PBX시스템,개발,마북3F,A2-09,,,18AN19400010,어플라이언스,DELL,AVAYA DELL R630,KT engcore,한솔,,TM
278,PBX,PBX시스템,개발,마북3F,A2-09,,,18OL24200043,어플라이언스,AVAYA,AVAYA G450,KT engcore,한솔,,TM
279,,DB 암호화,개발,마북3F,A3-01,,,28869,스토리지_SAN,HITACHI,USP-V,,,,
280,,DB 암호화,개발,마북3F,A3-07,,,AKD0904105,통합서버,ORACLE,M9000,,,,
281,,DHCP,운영,마북3F,N5,NT,WINDOWS,SGH829X2BF,일반서버,HP,DL360 G10,,,,
282,,보상모바일사고조회,개발,마북3F,N6,NT,WINDOWS,99V2932,일반서버,IBM,X3650,,,,
283,,DNS,운영,마북3F,N6,UNIX,SOLARIS(x86),1643NM107J,일반서버,ORACLE,X6-2,,,,
284,,DHCP,운영,마북3F,N6,NT,WINDOWS,SGH829X2BG,일반서버,HP,DL360 G10,,,,
